session,treatment,period,id,type,v,payoff,pay0,pay1,cv,cd,totalOtherV,R0,endowment,payScale
2024-09-12-111105,3,1,1,2,1,15,12.6,15,1,7,1,1.5,6,3
2024-09-12-111105,3,1,2,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,1,3,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,1,4,2,0,14.5,14.5,15,1,7,2,1.5,6,3
2024-09-12-111105,3,1,5,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,1,6,2,1,15,12.6,15,1,7,1,1.5,6,3
2024-09-12-111105,3,1,7,2,0,14.5,14.5,15,1,7,2,1.5,6,3
2024-09-12-111105,3,1,8,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,1,9,2,0,14.5,14.5,15,1,7,2,1.5,6,3
2024-09-12-111105,3,1,10,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,2,1,2,0,14.5,14.5,15,1,7,2,1.5,6,3
2024-09-12-111105,3,2,2,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,2,3,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,2,4,2,1,15,12.6,15,1,7,1,1.5,6,3
2024-09-12-111105,3,2,5,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,2,6,2,1,15,12.6,15,1,7,1,1.5,6,3
2024-09-12-111105,3,2,7,2,0,14.5,14.5,15,1,7,2,1.5,6,3
2024-09-12-111105,3,2,8,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,2,9,2,0,14.5,14.5,15,1,7,2,1.5,6,3
2024-09-12-111105,3,2,10,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,3,1,2,0,14.5,14.5,15,1,7,2,1.5,6,3
2024-09-12-111105,3,3,2,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,3,3,1,0,16.5,16.5,15,1,3,2,1.5,6,3
2024-09-12-111105,3,3,4,2,1,15,12.6,15,1,7,1,1.5,6,3
2024-09-12-111105,3,3,5,1,0,16.5,16.5,15,1,3,2,1.5,6,3
