session,treatment,period,id,type,v,payoff,pay0,pay1,cv,cd,totalOtherV,R0,endowment,payScale
2024-10-24-120131,1,1,1,2,1,15,10.1,15,1,7,6,4,6,3
2024-10-24-120131,1,1,2,1,0,16.5,16.5,15,1,3,7,4,6,3
2024-10-24-120131,1,1,3,2,0,14.5,14.5,15,1,7,7,4,6,3
2024-10-24-120131,1,1,4,2,1,15,10.1,15,1,7,6,4,6,3
2024-10-24-120131,1,1,5,1,1,15,14.6,15,1,3,6,4,6,3
2024-10-24-120131,1,1,6,1,1,15,14.6,15,1,3,6,4,6,3
2024-10-24-120131,1,1,7,2,1,15,10.1,15,1,7,6,4,6,3
2024-10-24-120131,1,1,8,2,0,14.5,14.5,15,1,7,7,4,6,3
2024-10-24-120131,1,1,9,1,1,15,14.6,15,1,3,6,4,6,3
2024-10-24-120131,1,1,10,1,1,15,14.6,15,1,3,6,4,6,3
2024-10-24-120131,1,2,1,2,1,15,14.5,15,1,7,7,4,6,3
2024-10-24-120131,1,2,2,1,0,18,18,15,1,3,8,4,6,3
2024-10-24-120131,1,2,3,2,0,18,18,15,1,7,8,4,6,3
2024-10-24-120131,1,2,4,2,1,15,14.5,15,1,7,7,4,6,3
2024-10-24-120131,1,2,5,1,1,15,16.5,15,1,3,7,4,6,3
2024-10-24-120131,1,2,6,1,1,15,16.5,15,1,3,7,4,6,3
2024-10-24-120131,1,2,7,2,1,15,14.5,15,1,7,7,4,6,3
2024-10-24-120131,1,2,8,2,1,15,14.5,15,1,7,7,4,6,3
2024-10-24-120131,1,2,9,1,1,15,16.5,15,1,3,7,4,6,3
2024-10-24-120131,1,2,10,1,1,15,16.5,15,1,3,7,4,6,3
2024-10-24-120131,1,3,1,2,1,15,10.1,15,1,7,6,4,6,3
2024-10-24-120131,1,3,2,1,0,16.5,16.5,15,1,3,7,4,6,3
2024-10-24-120131,1,3,3,2,0,14.5,14.5,15,1,7,7,4,6,3
2024-10-24-120131,1,3,4,2,1,15,10.1,15,1,7,6,4,6,3
2024-10-24-120131,1,3,5,1,1,15,14.6,15,1,3,6,4,6,3
2024-10-24-120131,1,3,6,1,1,15,14.6,15,1,3,6,4,6,3
2024-10-24-120131,1,3,7,2,1,15,10.1,15,1,7,6,4,6,3
2024-10-24-120131,1,3,8,2,1,15,10.1,15,1,7,6,4,6,3
2024-10-24-120131,1,3,9,1,1,15,14.6,15,1,3,6,4,6,3
2024-10-24-120131,1,3,10,1,0,16.5,16.5,15,1,3,7,4,6,3
2024-10-24-120131,1,4,1,2,1,15,7.5,15,1,7,5,4,6,3
2024-10-24-120131,1,4,2,1,0,14.6,14.6,15,1,3,6,4,6,3
2024-10-24-120131,1,4,3,2,0,10.1,10.1,15,1,7,6,4,6,3
2024-10-24-120131,1,4,4,2,1,15,7.5,15,1,7,5,4,6,3
2024-10-24-120131,1,4,5,1,1,15,13.5,15,1,3,5,4,6,3
